repo_name,repo_owner,title,pr_url,comments_count,state,author,created_at,closed_at,labels
rosdistro,ros,Move some packages from python2 to python3,https://github.com/ros/rosdistro/pull/16109,8,closed_without_merge,patrickelectric,2017-10-17T00:36:08Z,2019-11-25T13:32:44Z,rosdep
rosdistro,ros,convert underscore to dash in pip package names,https://github.com/ros/rosdistro/pull/18126,30,closed_without_merge,mikaelarguedas,2018-06-06T00:40:00Z,2020-06-02T14:44:23Z,rosdep
rosdistro,ros,Add python3-asyncssh rosdep,https://github.com/ros/rosdistro/pull/23352,0,merged,pjreed,2019-12-20T21:59:09Z,2019-12-31T01:53:08Z,rosdep
rosdistro,ros,Add fmt to base.yaml,https://github.com/ros/rosdistro/pull/23346,3,merged,kenji-miyake,2019-12-20T05:00:54Z,2020-01-03T00:01:58Z,rosdep
rosdistro,ros,Add python3-hypothesis,https://github.com/ros/rosdistro/pull/23334,0,merged,felixdivo,2019-12-18T19:12:56Z,2019-12-19T21:09:35Z,rosdep
rosdistro,ros,Add python-can on Python 3,https://github.com/ros/rosdistro/pull/23307,2,merged,felixdivo,2019-12-15T11:41:49Z,2019-12-31T01:47:30Z,rosdep
rosdistro,ros,Add python3-parameterized key for rclpy test,https://github.com/ros/rosdistro/pull/23197,1,closed_without_merge,Barry-Xu-2018,2019-12-03T02:08:09Z,2019-12-04T04:02:36Z,rosdep
rosdistro,ros,Add Python 3 entry for imageio,https://github.com/ros/rosdistro/pull/23169,1,merged,sgvandijk,2019-11-27T10:23:22Z,2019-12-05T15:08:31Z,rosdep
rosdistro,ros,Add benchmark to rosdep,https://github.com/ros/rosdistro/pull/23163,3,merged,efernandez,2019-11-26T16:48:46Z,2019-12-09T20:50:23Z,rosdep
rosdistro,ros,[dep] Add rsyslog.,https://github.com/ros/rosdistro/pull/23141,1,merged,130s,2019-11-24T02:07:41Z,2019-12-17T15:25:46Z,rosdep
rosdistro,ros,Urdfdom dep,https://github.com/ros/rosdistro/pull/23137,0,merged,concavegit,2019-11-23T21:42:24Z,2019-12-05T14:53:29Z,rosdep
rosdistro,ros,"Added Qt5 Multimedia, Quick and Qml",https://github.com/ros/rosdistro/pull/23131,0,merged,StefanFabian,2019-11-23T11:10:37Z,2019-12-05T14:48:41Z,rosdep
rosdistro,ros,"added boost chrono, iostreams and thread ",https://github.com/ros/rosdistro/pull/23117,1,merged,imerino95,2019-11-21T13:33:35Z,2019-11-22T23:51:59Z,rosdep
rosdistro,ros,wireless-tools,https://github.com/ros/rosdistro/pull/23060,2,merged,reinzor,2019-11-18T16:42:23Z,2019-11-27T14:16:57Z,rosdep
rosdistro,ros,Add objectpath dependency,https://github.com/ros/rosdistro/pull/22959,1,merged,joseluis12,2019-11-11T15:46:59Z,2019-12-04T13:43:12Z,rosdep
rosdistro,ros,Add the <objectpath> dependency to python rosdep yaml file,https://github.com/ros/rosdistro/pull/22918,1,closed_without_merge,joseluis12,2019-11-08T15:55:09Z,2019-11-11T15:39:00Z,rosdep
rosdistro,ros,Add python-setproctitle,https://github.com/ros/rosdistro/pull/22822,1,merged,rickstaa,2019-10-28T11:59:10Z,2019-11-23T10:02:16Z,rosdep
rosdistro,ros,Add python-pylibfreenect2,https://github.com/ros/rosdistro/pull/22819,1,closed_without_merge,rickstaa,2019-10-28T11:55:36Z,2019-11-16T15:35:32Z,rosdep
rosdistro,ros,Add python-astor-pip,https://github.com/ros/rosdistro/pull/22735,1,merged,MatthijsBurgh,2019-10-23T11:00:21Z,2019-10-30T16:51:08Z,rosdep
rosdistro,ros,Added Qt5 XML module and image formats plugin,https://github.com/ros/rosdistro/pull/22725,1,merged,StefanFabian,2019-10-22T11:37:00Z,2019-11-27T14:12:12Z,rosdep
rosdistro,ros,Add python3-babeltrace rules for RHEL and Fedora,https://github.com/ros/rosdistro/pull/22723,3,closed_without_merge,cottsay,2019-10-21T20:14:58Z,2019-10-23T16:57:57Z,rosdep
rosdistro,ros,Add rosdep rules for python-mysql.connector,https://github.com/ros/rosdistro/pull/22659,1,closed_without_merge,skalkoto,2019-10-14T07:17:22Z,2019-12-04T13:41:27Z,rosdep
rosdistro,ros,Add python3-networkmanager,https://github.com/ros/rosdistro/pull/22638,1,closed_without_merge,cevans87,2019-10-11T18:20:10Z,2019-11-25T13:37:24Z,rosdep
rosdistro,ros,Add python3-pyaudio,https://github.com/ros/rosdistro/pull/22623,1,merged,timrobotson,2019-10-10T20:39:04Z,2019-10-23T13:50:29Z,rosdep
rosdistro,ros,add python-jsonpickle,https://github.com/ros/rosdistro/pull/22264,0,merged,benmaidel,2019-09-17T09:10:46Z,2019-09-18T15:12:33Z,rosdep
rosdistro,ros,Use a virtual package to install java on Fedora,https://github.com/ros/rosdistro/pull/22129,9,merged,cottsay,2019-08-30T21:15:56Z,2020-03-10T20:26:20Z,rosdep
rosdistro,ros,Condense java rule for Fedora,https://github.com/ros/rosdistro/pull/22118,3,closed_without_merge,cottsay,2019-08-29T20:08:16Z,2019-09-05T12:15:16Z,rosdep
rosdistro,ros,Add python3-qt5-bindings rule for RHEL,https://github.com/ros/rosdistro/pull/22028,4,merged,cottsay,2019-08-16T05:51:49Z,2019-09-03T12:25:45Z,rosdep
rosdistro,ros,add qttools5-dev to the rosdistro base.yaml file,https://github.com/ros/rosdistro/pull/22022,2,merged,SamLyuubc,2019-08-15T17:55:07Z,2019-08-15T21:02:19Z,rosdep
rosdistro,ros,add pycryptodome,https://github.com/ros/rosdistro/pull/22011,4,merged,dirk-thomas,2019-08-14T16:44:14Z,2019-08-14T17:44:29Z,rosdep
rosdistro,ros,Add apparmor,https://github.com/ros/rosdistro/pull/21906,3,merged,ruffsl,2019-08-02T18:16:37Z,2019-10-22T15:31:11Z,rosdep
rosdistro,ros,Add some RHEL rules for existing keys,https://github.com/ros/rosdistro/pull/21847,1,merged,cottsay,2019-07-26T18:52:05Z,2019-08-01T01:04:47Z,rosdep
rosdistro,ros,ipython for bionic,https://github.com/ros/rosdistro/pull/21791,3,merged,floweisshardt,2019-07-19T07:08:53Z,2019-07-25T23:14:07Z,rosdep
