entry_key,type,entry,missing_type,platform,version,package_name,expected_package,detected_package,os_platform,os_version,os_package,current_manager,suggested_platform,suggested_version,suggested_package,description,status
apache2,A.2,apache2,platform,opensuse,15.2,,,,,,,,,,apache2,Entry 'apache2' missing version '15.2' for platform 'opensuse'; suggested package: 'apache2',ok
apache2,A.2,apache2,platform,rhel,8,,,,,,,,,,httpd,Entry 'apache2' missing version '8' for platform 'rhel'; suggested package: 'httpd',ok
apache2,A.2,apache2,platform,rhel,9,,,,,,,,,,httpd,Entry 'apache2' missing version '9' for platform 'rhel'; suggested package: 'httpd',ok
apache2-mpm-prefork,B.1a,apache2-mpm-prefork,,,,,,,,,,,,,,No distribution info found for entry 'apache2-mpm-prefork',ok
apparmor,A.2,apparmor,platform,alpine,edge,,,,,,,,,,apparmor-utils,Entry 'apparmor' missing version 'edge' for platform 'alpine'; suggested package: 'apparmor-utils',ok
apparmor,A.2,apparmor,platform,opensuse,15.2,,,,,,,,,,apparmor-parser,Entry 'apparmor' missing version '15.2' for platform 'opensuse'; suggested package: 'apparmor-parser',ok
apparmor,A.2,apparmor,platform,nixos,unstable,,,,,,,,,,apparmor-pam,Entry 'apparmor' missing version 'unstable' for platform 'nixos'; suggested package: 'apparmor-pam',ok
apr,B.1b,apr,,alpine,edge,apr,apr-dev,,,,,,,,,Package 'apr' differs from expected 'apr-dev' in alpine edge,ok
apr,B.1b,apr,,fedora,41,apr-devel,apr,,,,,,,,,Package 'apr-devel' differs from expected 'apr' in fedora 41,ok
apr,B.1b,apr,,fedora,42,apr-devel,apr-util-ldap,,,,,,,,,Package 'apr-devel' differs from expected 'apr-util-ldap' in fedora 42,ok
apr,B.1b,apr,,nixos,unstable,apr,aprutil,,,,,,,,,Package 'apr' differs from expected 'aprutil' in nixos unstable,ok
apr,B.1b,apr,,rhel,8,apr-devel,apr-util-devel,,,,,,,,,Package 'apr-devel' differs from expected 'apr-util-devel' in rhel 8,ok
apr,B.1b,apr,,rhel,9,apr-devel,apr-util-ldap,,,,,,,,,Package 'apr-devel' differs from expected 'apr-util-ldap' in rhel 9,ok
apt-transport-https,A.2,apt-transport-https,platform,alpine,edge,,,,,,,,,,apt-bash-completion,Entry 'apt-transport-https' missing version 'edge' for platform 'alpine'; suggested package: 'apt-bash-completion',ok
apt-transport-https,A.2,apt-transport-https,platform,arch,,,,,,,,,,,apt,Entry 'apt-transport-https' missing version '' for platform 'arch'; suggested package: 'apt',ok
apt-transport-https,A.2,apt-transport-https,platform,nixos,unstable,,,,,,,,,,apt,Entry 'apt-transport-https' missing version 'unstable' for platform 'nixos'; suggested package: 'apt',ok
apt-transport-https,A.2,apt-transport-https,platform,rhel,9,,,,,,,,,,apt-apidoc,Entry 'apt-transport-https' missing version '9' for platform 'rhel'; suggested package: 'apt-apidoc',ok
apt-transport-https,B.1b,apt-transport-https,,fedora,41,apt,apt-apidoc,,,,,,,,,Package 'apt' differs from expected 'apt-apidoc' in fedora 41,ok
apt-transport-https,B.1b,apt-transport-https,,fedora,42,apt,apt-apidoc,,,,,,,,,Package 'apt' differs from expected 'apt-apidoc' in fedora 42,ok
aravis,A.2,aravis,platform,alpine,edge,,,,,,,,,,aravis-viewer,Entry 'aravis' missing version 'edge' for platform 'alpine'; suggested package: 'aravis-viewer',ok
aravis,B.1a,aravis,,debian,bookworm,libaravis-0.6-0,,libaravis-0.8-0,,,,,,,,Package 'libaravis-0.6-0' not found in debian bookworm; detected existing package: 'libaravis-0.8-0',ok
aravis,B.1a,aravis,,debian,trixie,libaravis-0.6-0,,libaravis-0.8-0,,,,,,,,Package 'libaravis-0.6-0' not found in debian trixie; detected existing package: 'libaravis-0.8-0',ok
aravis-dev,A.2,aravis-dev,platform,alpine,edge,,,,,,,,,,aravis-dev,Entry 'aravis-dev' missing version 'edge' for platform 'alpine'; suggested package: 'aravis-dev',ok
arduino-core,B.1a,arduino-core,,arch,,arduino,,,,,,,,,,Package 'arduino' not found in arch ,ok
arduino-core,B.1a,arduino-core,,debian,bookworm,arduino-core,,arduino,,,,,,,,Package 'arduino-core' not found in debian bookworm; detected existing package: 'arduino',ok
arduino-core,B.1a,arduino-core,,debian,trixie,arduino-core,,arduino,,,,,,,,Package 'arduino-core' not found in debian trixie; detected existing package: 'arduino',ok
arduino-core,B.1a,arduino-core,,ubuntu,jammy,arduino-core,,arduino,,,,,,,,Package 'arduino-core' not found in ubuntu jammy; detected existing package: 'arduino',ok
arduino-core,B.1a,arduino-core,,ubuntu,noble,arduino-core,,arduino,,,,,,,,Package 'arduino-core' not found in ubuntu noble; detected existing package: 'arduino',ok
arduino-core,B.1b,arduino-core,,nixos,unstable,arduino,arduino-core,,,,,,,,,Package 'arduino' differs from expected 'arduino-core' in nixos unstable,ok
arista,B.1a,arista,,ubuntu,jammy,arista,,,,,,,,,,Package 'arista' not found in ubuntu jammy,ok
arista,B.1a,arista,,ubuntu,noble,arista,,,,,,,,,,Package 'arista' not found in ubuntu noble,ok
armadillo,A.2,armadillo,platform,alpine,edge,,,,,,,,,,armadillo-dev,Entry 'armadillo' missing version 'edge' for platform 'alpine'; suggested package: 'armadillo-dev',ok
armadillo,A.2,armadillo,platform,opensuse,15.2,,,,,,,,,,armadillo-devel,Entry 'armadillo' missing version '15.2' for platform 'opensuse'; suggested package: 'armadillo-devel',ok
armadillo,A.2,armadillo,platform,rhel,8,,,,,,,,,,armadillo-devel,Entry 'armadillo' missing version '8' for platform 'rhel'; suggested package: 'armadillo-devel',ok
armadillo,A.2,armadillo,platform,rhel,9,,,,,,,,,,armadillo-devel,Entry 'armadillo' missing version '9' for platform 'rhel'; suggested package: 'armadillo-devel',ok
asio,A.2,asio,platform,opensuse,15.2,,,,,,,,,,asio-devel,Entry 'asio' missing version '15.2' for platform 'opensuse'; suggested package: 'asio-devel',ok
assimp,B.1b,assimp,,alpine,edge,assimp,assimp-dev,,,,,,,,,Package 'assimp' differs from expected 'assimp-dev' in alpine edge,ok
assimp,B.1b,assimp,,fedora,41,assimp,assimp-devel,,,,,,,,,Package 'assimp' differs from expected 'assimp-devel' in fedora 41,ok
assimp,B.1b,assimp,,fedora,42,assimp,assimp-devel,,,,,,,,,Package 'assimp' differs from expected 'assimp-devel' in fedora 42,ok
assimp-dev,,assimp-dev,,,,,,,,,,,,,,,no_issues
at-spi2-core,A.2,at-spi2-core,platform,alpine,edge,,,,,,,,,,at-spi2-core,Entry 'at-spi2-core' missing version 'edge' for platform 'alpine'; suggested package: 'at-spi2-core',ok
at-spi2-core,A.2,at-spi2-core,platform,opensuse,15.2,,,,,,,,,,at-spi2-core,Entry 'at-spi2-core' missing version '15.2' for platform 'opensuse'; suggested package: 'at-spi2-core',ok
atlas,A.2,atlas,platform,arch,,,,,,,,,,,blas,Entry 'atlas' missing version '' for platform 'arch'; suggested package: 'blas',ok
atlas,A.2,atlas,platform,opensuse,15.2,,,,,,,,,,blas-devel,Entry 'atlas' missing version '15.2' for platform 'opensuse'; suggested package: 'blas-devel',ok
atlas,B.1a,atlas,,debian,trixie,libatlas-base-dev,,libblas-dev,,,,,,,,Package 'libatlas-base-dev' not found in debian trixie; detected existing package: 'libblas-dev',ok
autoconf,A.2,autoconf,platform,alpine,edge,,,,,,,,,,autoconf,Entry 'autoconf' missing version 'edge' for platform 'alpine'; suggested package: 'autoconf',ok
autoconf-archive,,autoconf-archive,,,,,,,,,,,,,,,no_issues
autograd-pip,A.2,autograd-pip,platform,alpine,edge,,,,,,,,,,py3-autograd,Entry 'autograd-pip' missing version 'edge' for platform 'alpine'; suggested package: 'py3-autograd',ok
autograd-pip,A.2,autograd-pip,platform,nixos,unstable,,,,,,,,,,python313Packages.autograd,Entry 'autograd-pip' missing version 'unstable' for platform 'nixos'; suggested package: 'python313Packages.autograd',ok
